,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
250,Discoteca Azúcar,"C. de Atocha, 107, Centro, 28012 Madrid, Spain",3.8,457,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
251,Enchufla Club de Salsa,"C. Cerro de la Alcazaba, 38, Puente de Vallecas, 28053 Madrid, Spain",4.7,75,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
252,The Host Club,"C. de Ferraz, 38, Moncloa - Aravaca, 28008 Madrid, Spain",4.1,1156,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Madrid
253,Nuvo Latín Bar,"C. del Estrecho de Gibraltar, 12, Cdad. Lineal, 28027 Madrid, Spain",4.4,255,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
254,Golden Gran Vía,"Pl. de los Mostenses, 11, Centro, 28013 Madrid, Spain",3.8,839,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
255,Center Mambo Latino,"C. de Orense, 22, Tetuán, 28020 Madrid, Spain",3.8,339,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Madrid
256,Super Dancers Family,"P.º de la Florida, 18, Moncloa - Aravaca, 28008 Madrid, Spain",4.7,43,"['point_of_interest', 'establishment']",,Bachata,Madrid
257,Icon Madrid,"Calle del Dr Cortezo, 1, Centro, 28012 Madrid, Spain",4.3,1013,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Madrid
258,Salsabachata Quevedo,"C. de Cercedilla, 3, Chamberí, 28015 Madrid, Spain",4.8,964,"['school', 'point_of_interest', 'establishment']",,Bachata,Madrid
259,Salsabachata Avenida de América,"C. de Coslada, 19, Salamanca, 28028 Madrid, Spain",4.8,925,"['school', 'point_of_interest', 'establishment']",,Bachata,Madrid
260,DANCES WITH STYLE / CUBAN SALSA CLASSES IN MADRID,"C. de Carretas, 14, 5º F, Centro, 28012 Madrid, Spain",4.9,32,"['point_of_interest', 'establishment']",,Bachata,Madrid
261,Discoteca la Rosa,"C. Francisco de Icaza, 3, Carabanchel, 28025 Madrid, Spain",3.9,677,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
262,Salsabachata Sol,"Calle del Conde de Romanones, 10, Centro, 28012 Madrid, Spain",4.9,581,"['point_of_interest', 'establishment']",,Bachata,Madrid
263,"Sala Olvido - Discoteca, Sala de Conciertos y Eventos.","C. del Olvido, 15, Usera, 28026 Madrid, Spain",4.2,652,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Madrid
264,Salsebastian,"Av. Fuente Nueva, Nº 5, Nave 16 B, 28703 San Sebastián de los Reyes, Madrid, Spain",4.9,216,"['night_club', 'school', 'bar', 'point_of_interest', 'establishment']",,Bachata,Madrid
265,"Sala Zeus, Móstoles","C. Becquer, 3, 28932 Móstoles, Madrid, Spain",4.0,557,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
266,DISCOTECA PRISMA,"C. de Alcalá, 192, Salamanca, 28028 Madrid, Spain",3.9,146,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Madrid
267,Premiumdance Clases De Salsa y Bachata,"C. de Ambrós, 34, Salamanca, 28028 Madrid, Spain",5.0,387,"['point_of_interest', 'establishment']",,Bachata,Madrid
268,Evolution Dance School,"C. del Marqués de Lema, 13, Chamberí, 28003 Madrid, Spain",4.9,208,"['point_of_interest', 'establishment']",,Bachata,Madrid
269,Antilla Barcelona,"Carrer de Viladomat, 211, L'Eixample, 08015 Barcelona, Spain",4.1,1043,"['point_of_interest', 'establishment']",1.0,Bachata,Barcelona
270,Seven Dance Gràcia,"Carrer del Perill, 10, Gràcia, 08012 Barcelona, Spain",4.5,509,"['point_of_interest', 'establishment']",,Bachata,Barcelona
271,El Bombó Salsa,"Carrer de la Mercè, 13, Ciutat Vella, 08002 Barcelona, Spain",4.0,712,"['bar', 'point_of_interest', 'establishment']",2.0,Bachata,Barcelona
272,Discoteca Latin Palace Barcelona,"Carrer de Ramon Trias Fargas, 2-4, Ciutat Vella, 08005 Barcelona, Spain",4.2,2109,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Bachata,Barcelona
273,Agua De Luna,"Carrer de Viladomat, 211, L'Eixample, 08029 Barcelona, Spain",3.7,21,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Barcelona
274,El Sabor,"Carrer de Francisco Giner, 32, Gràcia, 08012 Barcelona, Spain",4.5,1073,"['bar', 'point_of_interest', 'establishment']",1.0,Bachata,Barcelona
275,MULTICULTURAL SALSA Y BACHATA BARCELONA,"Carrer d'Ausiàs Marc, 125, L'Eixample, 08013 Barcelona, Spain",4.9,27,"['school', 'point_of_interest', 'establishment']",,Bachata,Barcelona
276,Bailongu,"Passatge d'Utset, 11-13, L'Eixample, 08013 Barcelona, Spain",4.6,470,"['point_of_interest', 'establishment']",,Bachata,Barcelona
277,Bcn Baila - Salsa classes - Bachata and more!,"Carrer d'Aragó, 178, L'Eixample, 08011 Barcelona, Spain",4.9,156,"['point_of_interest', 'establishment']",,Bachata,Barcelona
278,Canela Dance Club,"Carrer de Ca l'Alegre de Dalt, 55, Gràcia, 08024 Barcelona, Spain",3.4,596,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Barcelona
279,Gràcia Llatina,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona, Spain",4.2,1314,"['bar', 'point_of_interest', 'establishment']",,Bachata,Barcelona
280,D'Rumba Barcelona,"Carrer de Viladomat, 211, L'Eixample, 08015 Barcelona, Spain",3.7,861,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Barcelona
